ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots
99900,4,1.25,1008,4356,1940,74,1
142800,4,1.75,1650,5227,1954,60,2
99900,2,2.5,1126,5227,1880,134,6
139900,3,1,1220,4791,1941,73,1
182500,4,1.75,1778,6969,1908,106,5
169900,3,1,1453,4791,1939,75,2
324900,3,1.75,2336,8712,1983,31,6
69000,2,1,832,6969,1926,88,1
69500,3,1,1014,,1929,85,2
194900,2,1,1135,5227,1919,95,2
189000,4,1.5,1460,10454,1898,116,5
35900,2,1,734,6534,1913,101,0
299900,3,2,1400,5227,1924,90,2
168797,3,1.75,1306,5227,1920,94,1
175000,3,1.75,1150,10454,1968,46,2
179900,2,1,1344,4791,1937,77,3
289900,3,2,1635,5227,1921,93,1
39900,2,1.75,1808,6098,1907,107,2
329900,3,1.5,1550,6534,1915,99,1
149900,4,1,1369,4791,1915,99,1
84900,3,1.75,1133,8276,1915,99,1
120000,3,1,1694,4791,1900,114,2
204900,4,1.5,2524,9147,1963,51,2
145000,4,2,1964,7840,1957,57,1
269900,4,1.75,1406,5227,1918,96,2
194900,4,1.5,1408,4791,1912,102,0
149900,3,0.75,1224,3920,1886,128,2
74900,3,1.5,1178,5227,1920,94,4
139900,2,1,738,2613,1922,92,1
169900,4,2,1385,4356,1900,114,1
1195000,5,3.25,6247,18295,1908,106,3
99900,3,1,1241,5662,1917,97,1
129900,3,1,1408,7405,1941,73,2
1100000,4,1.5,1334,5662,1900,114,1
299900,3,2,1644,4356,1898,116,2
259900,3,1.75,1692,5227,1919,95,2
189900,4,2,2230,11761,1964,50,2
99000,3,1,949,10018,1908,106,1
132900,3,1.75,1528,,1965,49,1
159900,3,1.5,649,,1923,91,1
145000,3,1.25,1580,6534,1908,106,0
259900,4,1.75,2758,6534,1879,135,2
169900,3,1.5,1503,9147,1900,114,2
157000,4,1.5,1702,9626,1907,107,2
162990,4,1.75,2102,6098,1917,97,2
70000,2,1,1000,7405,1940,74,1
117500,3,1,1176,4791,1957,57,1
165000,3,1.75,1246,4791,1955,59,1
104500,2,1,702,6098,1909,105,1
125000,3,1,1240,5227,1948,66,1
69000,1,1,710,,1885,129,0
98850,2,1,730,4356,1922,92,1
199786,3,2,1403,3484,1983,31,2
140000,3,2,1650,7405,1917,97,2
169900,3,1.5,1829,,1950,64,2
28250,3,1,1597,6534,1914,100,3
72900,3,1,1177,4791,1939,75,2
409900,3,2.25,2218,10454,1954,60,2
750000,4,3.25,3460,4791,2003,11,2
